Compatibility*,0BSD,AFL-2.0,AFL-2.1,AFL-3.0,AGPL-3.0-only,AGPL-3.0-or-later,Apache-1.0,Apache-1.1,Apache-2.0,Artistic-1.0,Artistic-1.0-Perl,Artistic-2.0,BSD-1-Clause,BSD-2-Clause,BSD-2-Clause-Patent,BSD-3-Clause,BSD-4-Clause,BSD-4-Clause-UC,BSD-Source-Code,BSL-1.0,CC0-1.0,CDDL-1.0,CDDL-1.1,CPL-1.0,EFL-2.0,EPL-1.0,EPL-2.0,EUPL-1.1,EUPL-1.2,FSFAP,FSFULLR,FTL,GPL-1.0-only,GPL-1.0-or-later,GPL-2.0-only,GPL-2.0-only WITH Classpath-exception-2.0,GPL-2.0-or-later,GPL-3.0-only,GPL-3.0-or-later,HPND,IBM-pibs,ICU,IJG,IPL-1.0,ISC,Info-ZIP,LGPL-2.1-only,LGPL-2.1-or-later,LGPL-3.0-only,LGPL-3.0-or-later,Libpng,MIT,MIT-CMU,MPL-1.1,MPL-2.0,MPL-2.0-no-copyleft-exception,MS-PL,MS-RL,MirOS,NBPL-1.0,NTP,OSL-3.0,OpenSSL,PHP-3.01,PostgreSQL,Python-2.0,Qhull,RSA-MD,Sleepycat,SunPro,UPL-1.0,Unicode-DFS-2015,Unicode-DFS-2016,Unlicense,W3C,W3C-19980720,W3C-20150513,WTFPL,X11,XFree86-1.1,ZPL-2.0,Zlib,blessing,bzip2-1.0.5,bzip2-1.0.6,curl,libtiff,zlib-acknowledgement
0BSD,Same,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,Yes,Yes,Yes,No,No,No,Unknown,No,Yes,Yes,Yes,No,Unknown,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
AFL-2.0,Yes,Same,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,Yes,Yes,Yes,No,No,No,Unknown,No,Yes,Yes,Yes,No,Unknown,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
AFL-2.1,Yes,Yes,Same,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,Yes,Yes,Yes,No,No,No,Unknown,No,Yes,Yes,Yes,No,Unknown,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
AFL-3.0,Yes,Yes,Yes,Same,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,Yes,Yes,Yes,No,No,No,Unknown,No,Yes,Yes,Yes,No,Unknown,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
AGPL-3.0-only,Unknown,Unknown,Unknown,Unknown,Same,Yes,No,No,Yes,Unknown,Unknown,Yes,Unknown,Yes,Yes,Yes,No,No,Unknown,Yes,Yes,No,No,No,Yes,No,No,No,No,Yes,Yes,No,No,Check dependency,No,No,Check dependency,Check dependency,Check dependency,Unknown,Yes,Yes,No,No,Yes,Unknown,Check dependency,Check dependency,Check dependency,Check dependency,Yes,Yes,Unknown,No,Yes,No,Unknown,No,Unknown,Unknown,Yes,No,No,Unknown,Unknown,No,Unknown,Unknown,No,Unknown,Yes,Unknown,Unknown,Yes,Unknown,Unknown,Unknown,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Unknown,No
AGPL-3.0-or-later,Unknown,Unknown,Unknown,Unknown,No,Same,No,No,Yes,Unknown,Unknown,Yes,Unknown,Yes,Yes,Yes,No,No,Unknown,Yes,Yes,No,No,No,Yes,No,No,No,No,Yes,Yes,No,No,Check dependency,No,No,Check dependency,Check dependency,Check dependency,Unknown,Yes,Yes,No,No,Yes,Unknown,Check dependency,Check dependency,Check dependency,Check dependency,Yes,Yes,Unknown,No,Yes,No,Unknown,No,Unknown,Unknown,Yes,No,No,Unknown,Unknown,No,Unknown,Unknown,No,Unknown,Yes,Unknown,Unknown,Yes,Unknown,Unknown,Unknown,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Unknown,No
Apache-1.0,Yes,Yes,Yes,Yes,No,No,Same,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,Yes,Yes,Yes,No,No,No,Unknown,No,Yes,Yes,Yes,No,Unknown,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Apache-1.1,Yes,Yes,Yes,Yes,No,No,Yes,Same,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,Yes,Yes,Yes,No,No,No,Unknown,No,Yes,Yes,Yes,No,Unknown,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Apache-2.0,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Same,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,Yes,Yes,Yes,No,No,No,Unknown,No,Yes,Yes,Yes,No,Unknown,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Artistic-1.0,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Same,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,Yes,Yes,Yes,No,No,No,Unknown,No,Yes,Yes,Yes,No,Unknown,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Artistic-1.0-Perl,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Same,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,Yes,Yes,Yes,No,No,No,Unknown,No,Yes,Yes,Yes,No,Unknown,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Artistic-2.0,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Same,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,Yes,Yes,Yes,No,No,No,Unknown,No,Yes,Yes,Yes,No,Unknown,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
BSD-1-Clause,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Same,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,Yes,Yes,Yes,No,No,No,Unknown,No,Yes,Yes,Yes,No,Unknown,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
BSD-2-Clause,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Same,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,Yes,Yes,Yes,No,No,No,Unknown,No,Yes,Yes,Yes,No,Unknown,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
BSD-2-Clause-Patent,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Same,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,Yes,Yes,Yes,No,No,No,Unknown,No,Yes,Yes,Yes,No,Unknown,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
BSD-3-Clause,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Same,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,Yes,Yes,Yes,No,No,No,Unknown,No,Yes,Yes,Yes,No,Unknown,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
BSD-4-Clause,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Same,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,Yes,Yes,Yes,No,No,No,Unknown,No,Yes,Yes,Yes,No,Unknown,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
BSD-4-Clause-UC,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Same,Yes,Yes,Yes,No,No,No,Yes,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,Yes,Yes,Yes,No,No,No,Unknown,No,Yes,Yes,Yes,No,Unknown,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
BSD-Source-Code,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Same,Yes,Yes,No,No,No,Yes,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,Yes,Yes,Yes,No,No,No,Unknown,No,Yes,Yes,Yes,No,Unknown,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
BSL-1.0,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Same,Yes,No,No,No,Yes,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,Yes,Yes,Yes,No,No,No,Unknown,No,Yes,Yes,Yes,No,Unknown,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
CC0-1.0,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Same,No,No,No,Yes,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,Yes,Yes,Yes,No,No,No,Unknown,No,Yes,Yes,Yes,No,Unknown,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
CDDL-1.0,Unknown,Unknown,Unknown,Unknown,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Yes,Yes,Unknown,Unknown,Unknown,Yes,Yes,Same,No,No,Yes,No,No,No,No,Yes,Yes,Unknown,No,No,No,No,No,No,No,Unknown,Yes,Yes,Unknown,No,Yes,Unknown,No,No,No,No,Yes,Yes,Unknown,No,No,No,Unknown,No,Unknown,Unknown,Yes,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,No,Unknown,Yes,Unknown,Unknown,Yes,Unknown,Unknown,Unknown,Yes,Yes,Unknown,Unknown,Yes,Yes,Yes,Yes,Yes,Unknown,Unknown
CDDL-1.1,Unknown,Unknown,Unknown,Unknown,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Yes,Yes,Unknown,Unknown,Unknown,Yes,Yes,No,Same,No,Yes,No,No,No,No,Yes,Yes,Unknown,No,No,No,No,No,No,No,Unknown,Yes,Yes,Unknown,No,Yes,Unknown,No,No,No,No,Yes,Yes,Unknown,No,No,No,Unknown,No,Unknown,Unknown,Yes,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,No,Unknown,Yes,Unknown,Unknown,Yes,Unknown,Unknown,Unknown,Yes,Yes,Unknown,Unknown,Yes,Yes,Yes,Yes,Yes,Unknown,Unknown
CPL-1.0,Unknown,Unknown,Unknown,Unknown,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Yes,Yes,Unknown,Unknown,Unknown,Yes,Yes,No,No,Same,Yes,Yes,No,No,No,Yes,Yes,Unknown,No,No,No,No,No,No,No,Unknown,Yes,Yes,Unknown,Yes,Yes,Unknown,No,No,No,No,Yes,Yes,Unknown,No,No,No,Unknown,No,Unknown,Unknown,Yes,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,No,Unknown,Yes,Unknown,Unknown,Yes,Unknown,Unknown,Unknown,Yes,Yes,Unknown,Yes,Yes,Yes,Yes,Yes,Yes,Unknown,Unknown
EFL-2.0,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Same,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,Yes,Yes,Yes,No,No,No,Unknown,No,Yes,Yes,Yes,No,Unknown,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
EPL-1.0,Unknown,Unknown,Unknown,Unknown,No,No,Unknown,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Yes,Yes,Yes,Unknown,Unknown,Unknown,Yes,Yes,No,No,Yes,Yes,Same,No,Yes,No,Yes,Yes,Unknown,No,No,No,No,No,No,No,Unknown,Yes,Yes,Unknown,Yes,Yes,Unknown,No,No,No,No,Yes,Yes,Unknown,No,No,No,Unknown,No,Unknown,Unknown,Yes,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,No,Unknown,Yes,Unknown,Unknown,Yes,Unknown,Unknown,Unknown,Yes,Yes,Unknown,Yes,Yes,Yes,Yes,Yes,Yes,Unknown,Unknown
EPL-2.0,Unknown,Unknown,Unknown,Unknown,No,No,Unknown,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Yes,Yes,Yes,Unknown,Unknown,Unknown,Yes,Yes,No,No,No,Yes,Yes,Same,No,No,Yes,Yes,Unknown,No,No,No,No,No,No,No,Unknown,Yes,Yes,Unknown,No,Yes,Unknown,No,No,No,No,Yes,Yes,Unknown,No,No,No,Unknown,No,Unknown,Unknown,Yes,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,No,Unknown,Yes,Unknown,Unknown,Yes,Unknown,Unknown,Unknown,Yes,Yes,Unknown,Yes,Yes,Yes,Yes,Yes,Yes,Unknown,Unknown
